,song_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
193,Heart of Gold - 2009 Remaster,Neil Young,0.541,0.459,4,-10.433,0,0.0297,0.189,0.0274,0.099,0.803,171.165,187013,4
194,Blackbird - Remastered 2009,The Beatles,0.686,0.127,7,-14.361,1,0.0342,0.754,1.41e-05,0.0573,0.372,93.699,138387,4
195,Here Comes The Sun - Remastered 2009,The Beatles,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171,185733,4
196,Something - Remastered 2009,The Beatles,0.396,0.338,0,-10.872,1,0.0304,0.198,2.62e-06,0.138,0.377,133.522,182293,4
197,Oh! Darling - 2019 Mix,The Beatles,0.437,0.669,4,-6.524,1,0.0395,0.0344,0.00395,0.347,0.514,173.67,207147,3
198,While My Guitar Gently Weeps - 2018 Mix,The Beatles,0.421,0.668,2,-9.234,1,0.0364,0.00196,0.0172,0.307,0.635,115.124,285280,4
199,Penny Lane - Remastered,The Beatles,0.651,0.488,9,-8.22,1,0.0316,0.212,0.026,0.136,0.49,113.038,180893,4
200,The Most Beautiful Thing,Bruno Major,0.806,0.362,7,-10.381,1,0.0345,0.535,0.045,0.111,0.42,127.502,235427,4
201,Face To Face,Ruel,0.711,0.634,9,-4.351,1,0.0668,0.139,0,0.103,0.356,90.04,203747,4
202,Would You Believe,Sam Kim,0.629,0.271,3,-9.658,1,0.0522,0.354,1.38e-05,0.17,0.2,125.833,263227,3
203,some people,Jasmine Thompson,0.477,0.792,9,-4.715,0,0.236,0.506,0,0.0592,0.549,172.004,226772,4
